text,priority,area
Weighing scale is displaying completely incorrect values,High,Hardware
Production scanner is offline and blocking the workflow,High,Hardware
Complete network outage in building A,High,Networks
Packet loss detected on production floor network,Medium,Networks
Request to add a new application shortcut to my profile,Low,Access
All network printers went offline simultaneously,High,Networks
Network failure is preventing clock-in for all employees,High,Networks
Emergency: production data cannot sync due to network outage,High,Networks
Network storm detected causing severe packet loss across all segments,High,Networks
Both redundant links failed at the same time,High,Networks
Network outage is blocking order fulfillment system,High,Networks
Internet gateway is unreachable from all internal hosts,High,Networks
Critical: ERP server unreachable due to routing failure,High,Networks
Access point cluster failure leaving entire floor without WiFi,High,Networks
Complete loss of connectivity between headquarters and branch,High,Networks
VPN connection drops every 20 minutes,Medium,Networks
Video conferencing quality is very poor due to bandwidth issues,Medium,Networks
File uploads to cloud storage are extremely slow,Medium,Networks
Network switch is dropping packets on port 12,Medium,Networks
Certain websites are unreachable but others work fine,Medium,Networks
WiFi is stable but download speeds are below 1 Mbps,Medium,Networks
Network printer is reachable but jobs are not printing,Medium,Networks
Intermittent connection loss on wired workstations in room 3,Medium,Networks
Cannot access internal wiki from remote connection,Medium,Networks
Remote desktop sessions disconnect after a few minutes of inactivity,Medium,Networks
Request to document all switch port assignments,Low,Networks
Need WiFi access enabled in the new breakroom,Low,Networks
Request to whitelist a new domain in the web filter,Low,Networks
Need to configure a secondary DNS server,Low,Networks
Request to create a new network segment for IoT devices,Low,Networks
Need bandwidth usage report for last quarter,Low,Networks
Request to rename a wireless network SSID,Low,Networks
Need to add a new access point in the storage room,Low,Networks
Request to set up port mirroring for monitoring purposes,Low,Networks
Need to verify that backup network link is functioning correctly,Low,Networks
Production computer is showing a hard drive read error,High,Hardware
Receipt printer at point of sale is completely dead,High,Hardware
Server RAID array has failed and data may be at risk,High,Hardware
Industrial scale is not turning on at the start of shift,High,Hardware
Forklift terminal screen broke during operation,High,Hardware
Label printer head is burned out and needs replacement,High,Hardware
Workstation motherboard failure confirmed after diagnostics,High,Hardware
Touch panel on the production line is unresponsive,High,Hardware
Backup power unit failed during last night power fluctuation,High,Hardware
Warehouse handheld scanner is completely frozen and unresponsive,High,Hardware
Printer is consistently skipping every other label,Medium,Hardware
Computer restarts randomly once or twice per day,Medium,Hardware
Laptop hinge is broken and screen wobbles during use,Medium,Hardware
Scanner glass has a scratch causing dark line in scans,Medium,Hardware
Desktop speaker produces static noise during calls,Medium,Hardware
Wireless mouse loses connection when battery is low,Medium,Hardware
Monitor backlight flickers when brightness is above 50 percent,Medium,Hardware
Docking station video output stopped working,Medium,Hardware
Laptop touchpad is too sensitive and causes errors,Medium,Hardware
Card reader at entrance is intermittently failing to read badges,Medium,Hardware
Need a replacement laptop bag for field visits,Low,Hardware
Requesting a second power adapter to keep at home,Low,Hardware
Need a presenter remote for meeting room presentations,Low,Hardware
Request for anti-glare screen protector for workstation monitor,Low,Hardware
Need a replacement battery for the wireless keyboard,Low,Hardware
Requesting a small USB fan for hot workstation area,Low,Hardware
Need a longer HDMI cable to connect to meeting room display,Low,Hardware
Request for a numeric keypad attachment for laptop use,Low,Hardware
Need a phone holder mount for the reception desk,Low,Hardware
Requesting a label maker for the supply room,Low,Hardware
Cannot log into the system at start of shift and team is waiting,High,Access
Password reset link is not arriving to my email,High,Access
Entire team lost access to the shared project folder overnight,High,Access
New employee cannot log in on their first day,High,Access
Access to financial reports blocked before board meeting,High,Access
IT admin account locked after failed login attempts,High,Access
Cannot access quality control system before inspection,High,Access
Warehouse supervisor lost access to dispatch software,High,Access
Single sign-on stopped working for the entire department,High,Access
Cannot unlock encrypted drive needed for audit documentation,High,Access
Need access to the supplier portal to process an order,Medium,Access
Cannot view historical reports older than 90 days,Medium,Access
User needs write access to the operations shared folder,Medium,Access
Cannot submit expense reports through the finance portal,Medium,Access
Need access to the maintenance scheduling software,Medium,Access
User transferred to a new department but still has old access,Medium,Access
Cannot create new entries in the asset management system,Medium,Access
Need approval workflow access in the procurement system,Medium,Access
Cannot export data from the analytics platform,Medium,Access
User needs access to the compliance training portal,Medium,Access
Need to update my work anniversary date in the HR system,Low,Access
Request to change my default dashboard in the ERP,Low,Access
Need to set up automatic replies in my email client,Low,Access
Request to update the team distribution list members,Low,Access
Need to change my preferred language in the helpdesk portal,Low,Access
Request to add a shortcut to an internal tool in my browser,Low,Access
Need to update my cost center assignment in the system,Low,Access
Request to change the default report format in my account,Low,Access
Need to register a personal device for corporate WiFi access,Low,Access
Request to update my dietary preference in the cafeteria system,Low,Access
